5;BACON;0000000000005;0.00;28.99;0.000;KG;720;S
6;SUCO ADES SOY FORCE LARANJA 1,5 L;7891150005976;0.00;6.75;0.000;UN;780;S
7;SUCO DAFRUTA PREMIUM GOIABA 1L;7896005401330;0.00;2.99;0.000;UN;780;S
8;SUCO ADES SOY FORCE UVA 1,5 L;7891150005983;0.00;6.75;0.000;UN;780;S
9;SUCO ADES SOY FORCE MACA 1,5 L;7891150005990;0.00;6.75;0.000;UN;780;S
10;SUCO PALMEIRON CAJU 1L;7898366931921;0.00;3.50;0.000;UN;780;S
11;SUCO PALMEIRON GOIABA 1L;7898366931969;0.00;4.50;0.000;UN;780;S
12;SUCO PALMEIRON UVA 1L;7898366931914;0.00;4.09;0.000;UN;780;S
13;SUCO ADES SOY FORCE UVA 1L;7894000001159;0.00;6.49;0.000;UN;780;S
14;SUCO PALMEIRON LARANJA 1L;7898366932263;0.00;3.50;0.000;UN;780;S
15;SUCO ADES SOY FORCE LARANJA 1L;7894000181011;0.00;6.49;0.000;UN;780;S
16;SUCO ADES SOY FORCE MACA 1L;7894000182018;0.00;6.49;0.000;UN;780;S
17;SUCO ADES SOY FORCE PESSEGO 1L;7894000047515;0.00;6.49;0.000;UN;780;S
18;SUCO ADES SOY FORCE ABACAXI 1L;7894000047522;0.00;5.50;0.000;UN;780;S
19;SUCO SOLLYS NESTLE MACA 1L;7891000039151;0.00;3.69;0.000;UN;780;S
20;SUCO IDO BEM DE UVA INTEGRAL  200ML;7898919902248;0.00;1.89;0.000;UN;780;S
21;SUCO SOLLYS NESTLE ABACAXI 1L;7891000039090;0.00;3.69;0.000;UN;780;S
22;SUCO SOLLYS NESTLE UVA 1L;7891000039137;0.00;3.69;0.000;UN;780;S
23;SUCO TAMPICO FRUTAS CITRICAS 1L;0095188790362;0.00;3.79;0.000;UN;780;S
24;SUCO MAIS VITA YOKI LARANJA 1L;7891095010707;0.00;3.50;0.000;UN;780;S
25;SUCO MAIS VITA YOKI MARACUJA 1L;7891095013708;0.00;3.50;0.000;UN;780;S
26;SUCO MAIS VITA YOKI UVA 1L;7891095010677;0.00;3.50;0.000;UN;780;S
27;SUCO NATURIS BATAVO ORIGINAL 1L;7891097014529;0.00;4.89;0.000;UN;780;S
28;SUCO NATURIS BATAVO ORIGINAL ZERO 1L;7891097017902;0.00;6.50;0.000;UN;780;S
29;SUCO ADES SOY FORCE ORIGINAL SOJA+CALCIO  1L;7891150001961;0.00;5.99;0.000;UN;780;S
30;SUCO ADES SOY FORCE VITAMINA DE BANANA SOJA+CAL 1L;7891150001978;0.00;5.80;0.000;UN;780;S
31;SUCO SU FRESH LARANJA 200ML;7898192032663;0.00;1.25;0.000;UN;780;S
32;SUCO ADES SOY FORCE MACA 200 ML;7891700203142;0.00;1.99;0.000;UN;780;S
33;SUCO ADES SOY FORCE PESSEGO 200 ML;7891700203159;0.00;1.99;0.000;UN;780;S
34;SUCO SU FRESH TURMA DA MONICA MORANGO 200ML;7898192030959;0.00;1.19;0.000;UN;780;S
35;SUCO ADES SOY FORCE LARANJA 200 ML;7891700203135;0.00;1.99;0.000;UN;780;S
36;SUCO SU FRESH TURMA DA MONICA PESSEGO 200ML;7898192030683;0.00;1.25;0.000;UN;780;S
37;SUCO ADES SOY FORCE UVA 200 ML;7891700203067;0.00;1.99;0.000;UN;780;S
38;SUCO DAFRUTA BARBIE MORANGO 200ML;7896005401965;0.00;1.35;0.000;UN;780;S
39;SUCO DAFRUTA BARBIE UVA 200ML;7896005401941;0.00;1.35;0.000;UN;780;S
40;SUCO PALMEIRON UVA 200ML;7898366931976;0.00;1.29;0.000;UN;780;S
41;BEBIDA LACTEA ELEGE MORANGO 200ML;7896079510419;0.00;1.35;0.000;UN;730;S
42;ACHOCOLATADO ELEGE 1L;7891515850524;0.00;5.49;0.000;UN;800;S
43;LEITE DESNATADO CAMPONESA 1L;7896259412885;5.08;5.99;10.000;UN;120;N
44;ACHOCOLATADO VALEDOURADO 1L;7896085307041;4.74;5.95;-1.000;UN;800;S
45;ACHOCOLATADO ITALAC 1L;7898080640925;5.42;7.29;12.000;UN;800;N
46;LEITE INTEGRAL CAMPONESA 1L;7896259412861;5.08;5.99;47.000;UN;120;N
47;ACHOCOLATADO BOA VIDA 1L;7896085391118;3.92;5.79;53.000;UN;800;N
48;ACHOCOLATADO NESCAU PRONTO 1L;7891000081501;9.40;11.79;68.000;UN;800;N
49;ACHOCOLATADO NESCAU PRONTINHO 200ML;7891000379103;1.32;1.69;0.000;UN;800;S
50;ACHOCOLATADO ELEGE 200ML;7896079510402;1.91;2.19;12.000;UN;800;N
51;ACHOCOLATADO EMBARE KIDS CAMPONESA 200ML;7896259411819;1.30;1.69;0.000;UN;940;S
52;LEITE INTEGRAL BETANIA 1L;7898403780130;4.88;5.39;4.000;UN;120;N
