3090,"155787.47","12992.438","433.081","97.55","97.52"
4865,"1695.20","1304.000","43.467","23.30","30.83"
12756,"3124.95","1255.000","41.833","8.58","19.89"
12777,"4740.00","948.000","31.600","13.02","15.03"
3397,"1366.33","917.000","30.567","18.78","21.68"
12780,"778.60","916.000","30.533","5.98","47.22"
12754,"3152.00","788.000","26.267","8.66","12.49"
1089,"4481.11","709.000","23.633","75.40","75.75"
2810,"25536.01","640.202","21.340","39.15","36.16"
58,"1392.84","636.000","21.200","32.72","48.62"
7541,"2641.50","587.000","19.567","27.15","27.57"
15075,"2194.50","550.000","18.333","7.79","15.98"
3337,"3543.54","546.000","18.200","11.48","8.20"
12855,"136.25","545.000","18.167","2.42","18.04"
4184,"807.58","542.000","18.067","11.10","12.81"
5157,"2023.77","483.000","16.100","71.18","78.03"
1542,"1103.78","482.000","16.067","3.58","7.24"
12753,"2280.00","456.000","15.200","6.26","7.23"
12757,"560.00","448.000","14.933","1.54","7.10"
4864,"552.50","425.000","14.167","7.59","10.05"
2808,"11171.26","385.347","12.845","17.13","21.77"
3440,"1532.16","384.000","12.800","15.75","18.04"
8733,"3970.50","375.000","12.500","30.49","19.33"
11785,"175.91","359.000","11.967","3.12","11.88"
6172,"856.80","357.000","11.900","11.77","8.44"
12773,"1932.48","352.000","11.733","74.60","65.19"
263,"1198.89","343.000","11.433","25.60","22.82"
5126,"11743.45","326.279","10.876","18.00","18.43"
5897,"1520.79","311.000","10.367","22.16","39.27"
11241,"2870.61","309.000","10.300","9.30","4.64"
15101,"9597.71","306.732","10.224","34.09","8.91"
3421,"475.41","299.000","9.967","6.53","7.07"
71,"1006.83","297.000","9.900","20.90","34.82"
14459,"1022.03","297.000","9.900","23.17","18.75"
14256,"1773.04","296.000","9.867","95.75","86.80"
14647,"1836.68","292.000","9.733","5.95","4.39"
7693,"1442.11","289.000","9.633","8.29","13.71"
12783,"143.00","286.000","9.533","2.54","9.47"
12881,"142.00","284.000","9.467","15.61","71.00"
1614,"1117.20","280.000","9.333","3.62","4.21"
12709,"970.22","278.000","9.267","45.24","87.41"
9266,"956.26","274.000","9.133","10.77","13.67"
3811,"406.50","271.000","9.033","4.58","13.52"
8870,"464.17","266.000","8.867","1.50","4.00"
12373,"529.34","266.000","8.867","10.13","10.54"
2373,"9276.66","265.063","8.835","25.48","4.20"
9264,"421.35","265.000","8.833","1.36","3.98"
216,"349.65","259.000","8.633","3.66","10.35"
3084,"5421.08","251.096","8.370","16.29","15.69"
12776,"1255.00","251.000","8.367","3.45","3.98"
12755,"2250.00","250.000","8.333","6.18","3.96"
12782,"372.00","248.000","8.267","32.94","70.25"
12759,"985.53","247.000","8.233","2.71","3.92"
8834,"2326.10","245.000","8.167","17.86","12.63"
2825,"3501.31","237.584","7.919","10.52","14.84"
978,"1846.23","237.000","7.900","84.68","92.94"
1557,"769.86","234.000","7.800","2.49","3.52"
